community,sv,count,fract
wgs__ERR2213662,sv-3804:wgs__ERR2213662,3144,0.025429486557313405
wgs__ERR2213662,sv-3902:wgs__ERR2213662,3089,0.02498463230774208
wgs__ERR2213662,sv-3932:wgs__ERR2213662,3074,0.024863308421495357
wgs__ERR2213662,sv-4310:wgs__ERR2213662,2888,0.023358892232035976
wgs__ERR2213662,sv-4392:wgs__ERR2213662,2855,0.023091979682293182
wgs__ERR2213662,sv-5069:wgs__ERR2213662,2585,0.02090814972985215
wgs__ERR2213662,sv-5565:wgs__ERR2213661,964,0.007797081756122812
wgs__ERR2213662,sv-5602:wgs__ERR2213662,2420,0.019573586981138178
wgs__ERR2213662,sv-5710:wgs__ERR2213662,2385,0.019290497913229156
wgs__ERR2213662,sv-6298:wgs__ERR2213662,2220,0.01795593516451519
wgs__ERR2213662,sv-6571:wgs__ERR2213662,2150,0.017389757028697144
wgs__ERR2213662,sv-6596:wgs__ERR2213662,2144,0.017341227474198452
wgs__ERR2213662,sv-6786:wgs__ERR2213662,2097,0.016961079297292053
wgs__ERR2213662,sv-6996:wgs__ERR2213661,883,0.0071419327703905015
wgs__ERR2213662,sv-7058:wgs__ERR2213662,2026,0.01638681290239089
wgs__ERR2213662,sv-7125:wgs__ERR2213662,2010,0.01625740075706105
wgs__ERR2213662,sv-7164:wgs__ERR2213662,1999,0.016168429907146786
wgs__ERR2213662,sv-7182:wgs__ERR2213662,1995,0.016136076870814326
wgs__ERR2213662,sv-7230:wgs__ERR2213662,1984,0.01604710602090006
wgs__ERR2213662,sv-7537:wgs__ERR2213662,1911,0.01545666310783267
wgs__ERR2213662,sv-7709:wgs__ERR2213662,1876,0.015173574039923646
wgs__ERR2213662,sv-7806:wgs__ERR2213662,1855,0.015003720599178233
wgs__ERR2213662,sv-8016:wgs__ERR2213662,1809,0.014631660681354946
wgs__ERR2213662,sv-8232:wgs__ERR2213662,1762,0.014251512504448543
wgs__ERR2213662,sv-8371:wgs__ERR2213662,1732,0.014008864731955095
wgs__ERR2213662,sv-8599:wgs__ERR2213662,1687,0.013644893073214922
wgs__ERR2213662,sv-8820:wgs__ERR2213662,1639,0.013256656637225403
wgs__ERR2213662,sv-9180:wgs__ERR2213662,1570,0.012698566760490472
wgs__ERR2213662,sv-9263:wgs__ERR2213662,1553,0.012561066356077517
wgs__ERR2213662,sv-9584:wgs__ERR2213662,1489,0.012043417774758161
wgs__ERR2213662,sv-9833:wgs__ERR2213662,1444,0.011679446116017988
wgs__ERR2213662,sv-10037:wgs__ERR2213662,1400,0.011323562716360931
wgs__ERR2213662,sv-10124:wgs__ERR2213662,1387,0.011218415348280436
wgs__ERR2213662,sv-10524:wgs__ERR2213662,1318,0.010660325471545504
wgs__ERR2213662,sv-11041:wgs__ERR2213662,1226,0.00991620563589893
wgs__ERR2213662,sv-11354:wgs__ERR2213662,1170,0.009463263127244492
wgs__ERR2213662,sv-11372:wgs__ERR2213662,1167,0.009438998349995146
wgs__ERR2213662,sv-12042:wgs__ERR2213662,1049,0.008484583778187582
wgs__ERR2213662,sv-12070:wgs__ERR2213662,1045,0.008452230741855122
wgs__ERR2213662,sv-12487:wgs__ERR2213662,970,0.007845611310621501
